"COUNTRY","Country","BIRTH","Place of birth","HATLEV1D","Educational attainment","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,48.6,,
"IRL","Ireland","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,49,,
"IRL","Ireland","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,53.2,,
"IRL","Ireland","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,55,,
"IRL","Ireland","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,65.7,,
"IRL","Ireland","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,69.3,,
"IRL","Ireland","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,70.3,,
"IRL","Ireland","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,72.4,,
"IRL","Ireland","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,73.7,,
"IRL","Ireland","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,76.8,,
"IRL","Ireland","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,78.1,,
"IRL","Ireland","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,80.3,,
"IRL","Ireland","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,80.6,,
"IRL","Ireland","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,81.6,,
"ITA","Italy","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,63.7,,
"ITA","Italy","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,63.9,,
"ITA","Italy","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,64.5,,
"ITA","Italy","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,65.1,,
"ITA","Italy","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,65.3,,
"ITA","Italy","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,59,,
